Area,Labor Force Participation,Weekly Wages 2023,Total Education 2023,DOE 2023,Area Type,FIPS,Total Pop 2023,Male Pop 2023,Female Pop 2023,White 2023,Black 2023,American Indian 2023,Asian 2023,Hispanic 2023,15 to 19 2023,20 to 24 2023,25 to 29 2023,30 to 34 2023,35 to 39 2023,40 to 44 2023,45 to 49 2023,50 to 54 2023,55 to 59 2023,60 to 64 2023,65 to 69 2023,70 to 74 2023,75 to 79 2023
Prince William County,0.76,1176,39609.075,0.691815555,Urban,153,539607,266856,272751,203236,136509,1231,58960,145309,35087,37022,43846,43160,42239,38701,34365,32475,29607,24489,18879,14438,9429
Pulaski County,0.62,958,2333.925,0.707973409,Urban,155,35213,17562,17651,31914,2377,52,256,617,1973,1787,1854,1854,1948,2169,2338,2422,2478,2389,2328,2177,1548
Rappahannock County,0.66,894,436.65,0,Rural,157,8469,4120,4348,7799,387,10,39,257,511,474,524,561,525,419,443,420,510,543,567,557,382
Richmond County,0.74,903,1113.15,0.880161956,Rural,159,10072,6032,4040,5787,3693,2,63,543,442,610,694,733,864,822,726,643,621,608,562,417,338
Roanoke County,0.70,1008,8433.7,0.922881091,Urban,161,100980,48444,52536,90297,5785,83,2703,2258,6145,4966,5365,5727,6237,5994,5961,6103,6673,6726,6369,5655,3793
Rockbridge County,0.62,801,1342.75,0.755304965,Urban,163,22515,11148,11367,21333,697,29,257,209,1292,1161,1118,1308,1405,1506,1423,1433,1500,1561,1418,1193,875
Rockingham County,0.72,1110,5514.5,0.584111235,Urban,165,85443,41654,43789,79353,1146,64,591,4525,5130,5786,4265,5776,6100,6482,5125,4854,4902,4702,4462,3798,2512
Russell County,0.55,895,2520.475,0.761635742,Urban,167,31588,15132,16457,30714,317,25,49,504,1716,1399,1559,1653,2043,2115,2196,2165,2252,2307,2048,1750,1236
Scott County,0.56,805,1615.4,0.776514018,Urban,169,22386,10993,11393,21911,215,30,15,217,1122,1014,1066,1107,1258,1305,1456,1601,1690,1779,1549,1418,1070
Shenandoah County,0.70,935,3080.125,0.712634907,Urban,171,51405,24379,27027,46716,855,72,490,3601,2744,2748,2973,3057,3190,2915,3160,3231,3544,3473,3333,2812,2143
Smyth County,0.58,867,2417.975,0.55299071,Urban,173,31862,15817,16045,30641,691,34,106,391,1799,1529,1739,1706,1867,1910,1978,2153,2392,2398,2181,1867,1223
Southampton County,0.74,928,1278.175,0.401298937,Rural,175,17660,9635,8025,9682,7743,10,32,197,1005,999,997,1085,1213,1178,1080,1171,1239,1348,1118,847,531
Spotsylvania County,0.69,973,10242.825,0.716122254,Urban,177,185845,91998,93847,141602,30781,386,5005,10705,11705,11952,13746,14584,14019,13169,11261,10820,10720,10061,8022,6610,3754
Stafford County,0.72,1266,12807.375,0.833694442,Urban,179,187099,93900,93200,138664,30059,886,6871,13193,10616,12313,14826,15467,15389,12601,11319,11407,11840,10718,8529,5983,3793
Surry County,0.72,1723,241.9,0.77167812,Rural,181,7745,3763,3982,3480,4118,13,24,123,519,456,531,525,530,436,354,405,428,486,444,365,284
Sussex County,0.50,1045,303.4,0.947276702,Rural,183,11116,6706,4410,3634,7193,10,30,251,579,796,881,764,813,771,743,724,726,650,598,480,325
Tazewell County,0.52,849,3043.225,0.703492157,Urban,185,47676,22901,24775,44834,1237,68,856,708,2480,1944,2175,2327,2945,3229,3180,3017,3341,3418,3591,3097,2078
Warren County,0.70,938,2674.225,0.82106205,Urban,187,47651,23442,24210,43624,2350,144,505,1354,2719,2751,3450,3391,3290,2795,2628,2902,3248,3189,2541,2007,1307
Washington County,0.64,889,4133.825,0.809344178,Urban,191,54634,26848,27785,52886,902,37,234,592,3341,2965,3008,3113,3340,3607,3519,3581,3786,3869,3356,2939,1955
Westmoreland County,0.72,809,1154.15,0.575897697,Rural,193,18601,8718,9884,10371,6803,62,166,1225,1066,993,1103,1162,1224,1040,981,1043,1154,1280,1208,997,740
Wise County,0.49,858,4702.7,0.792962618,Urban,195,41207,21156,20051,37864,2330,22,186,812,2653,2391,2377,2383,2871,2881,2651,2630,2397,2604,2360,2002,1344
Wythe County,0.63,868,2813.625,0.699498742,Urban,197,30708,14513,16195,29181,987,43,177,343,1835,1561,1777,1710,1841,1847,1918,2048,2058,2077,1987,1620,1160
York County,0.71,955,4647.35,0.736953669,Urban,199,79166,38878,40289,60742,9610,258,5241,3721,4253,3784,4805,5434,5715,4783,4193,4706,5327,5520,5111,4465,3083
Alexandria city,0.85,1715,8850.875,0.707845731,Urban,510,156641,75137,81504,79974,31519,299,13194,31971,5207,7567,10606,13280,14057,14476,14732,12129,9512,7603,7255,6170,3665
Bedford city,0.66,920,386.425,0.699,Urban,515,5966,2811,3155,4624,1229,2,62,49,226,302,357,390,382,289,286,275,263,288,428,482,424
Bristol city,0.58,850,1240.25,0.616526844,Urban,520,17077,7794,9283,15626,1054,25,111,262,965,888,929,918,1022,900,943,976,1009,1050,1106,1152,900
Buena Vista city,0.82,803,410,0.893473419,Urban,530,6606,3033,3574,6066,391,8,59,86,408,364,336,397,417,364,337,369,392,417,421,334,243
Charlottesville city,0.71,1320,3512.675,0.736846713,Urban,540,41674,19639,22035,29276,9372,19,1289,1728,1964,7135,4730,3082,2262,2010,1712,1773,1789,1726,1853,1697,1305
Chesapeake city,0.73,1084,17706.875,0.768711863,Urban,550,282117,137059,145058,172586,92845,976,8394,8661,17234,17111,20288,21299,21251,17662,15153,16272,16927,16928,15285,11271,7347
Colonial Heights city,0.66,807,1282.275,0.83688797,Urban,570,19557,9699,9858,15819,1816,21,1145,790,1175,1216,1298,1130,1096,1031,1118,1165,1255,1247,1245,1083,768
Covington city,0.58,1151,801.55,0.805624914,Urban,580,5950,2787,3162,4798,1071,6,40,39,306,380,417,366,308,293,294,294,343,378,342,335,242
Danville city,0.67,902,3476.8,0.638532339,Urban,590,45804,20862,24941,21564,21600,74,643,1950,2849,2285,2471,2501,2560,2356,2582,2595,2812,2770,2968,2731,2030
Emporia city,0.66,758,541.2,0.699,Urban,595,5368,2491,2878,1955,3164,#DIV/0!,40,210,322,252,222,232,256,314,307,293,310,366,284,309,228
Fairfax city,0.76,1319,3863.225,0.699,Urban,600,24584,11949,12634,13669,1321,61,4648,4921,1228,1711,1915,1606,1435,1267,1281,1211,1464,1535,1663,1602,1116
Falls Church city,0.82,1509,2138.15,0.899294795,Urban,610,11683,5560,6124,8030,639,23,1350,1658,707,539,611,627,531,618,706,805,725,731,665,643,474
Franklin city,0.67,786,706.225,0.714937082,Urban,620,9513,4357,5156,4076,5266,2,57,123,554,438,513,479,547,504,541,552,712,625,613,544,341
Fredericksburg city,0.70,1145,5366.9,0.488338094,Urban,630,26023,11633,14390,17746,6003,67,491,1847,2139,2761,2361,1846,1440,1203,1160,1235,1312,1209,1285,1297,942
Galax city,0.68,762,972.725,0,Urban,640,6569,3163,3405,4831,544,4,32,1160,364,357,335,353,337,402,427,428,390,418,375,416,317
